Event Link,Content
https://www.ariiyatickets.com/event/redbull-bc-one-national-finale/,Date: Sunday October 13th 2019. Venue: Indoor Sports Complex University of Lagos Time: 12: 00 P.M Details Date: October 13 Time: 12:00 pm - 5:00 pm Cost: Free Event Category: Competition Event Tags:Break Dance DANCE Redbull October 13 @ 12:00 pm - 5:00 pm
https://www.ariiyatickets.com/event/chef-fatima-global-food-fest/,The Chef Fatima Global Food Fest (CGFF) is a family friendly Global Culture-focused Food Fair convened by celebrity chef star presenter of ‘Kitchen Republic with Chef Fatima’ on Human Rights Radio 101.1FM internationally certified culinary training Expert and Official Food Safety Consultant to Government and Private Organizations Chef Fatima I. Haruna MCFP HACCP1 CHPCCNBBQ Expert. The CGFF is an international affair showcasing a spectacular sampling of colorful and tasty culinary offerings from across ten (10) different countries as well as a broad sample of mouth-watering national cuisines from all 6 Geo-Political regions of Nigeria. The Food Fest is centered on Global culture and Unity and is themed “Promoting Global Unity through Food”. The Food Fest will also feature seasoned chefs from Europe and Africa several international and local vendors as well as official representations from Embassies and International Cultural Centers with presence in Nigeria. Details Date: November 9 Time: 12:00 pm - 8:00 pm Cost: ₦2000 – ₦20000 Event Categories: chill out Food Event Tags:FOOD Website: http://www.cgff.ng November 9 @ 12:00 pm - 8:00 pm
https://www.ariiyatickets.com/event/yowop-business-entrepreneurship-summit-award-dinner-nightcelebrating-social-media-influencers/,YOWOP BUSINESS& ENTREPRENEURSHIP SUMMIT & AWARD RECOGNITION DINNER NIGHT .(celebrating social media influencers and also empowering individuals with cash and equipment for business) In this business summit people will get to know a lot of businesses they can run through various media platforms and online platforms and be free from joblessness lack of money and many more. We designed This for everyone who wants to have financial freedom and want better their income. We have Award winning experts in all these field and they are happy and willing to let you know the secret of their greatness and financial liberation. Here are what you’ll be learning during this summit: Digital market training Forex trading Career talk E-commerce How to move up in business and Relationship talk( how to combine relationship career and home together without none been affected) Award Dinner night. This is the very fun part of it. Awards will be given to social media influencers those that has made impact in the lives of people and also made a difference through social media. Then during the dinner night entrepreneurial prize will be given Generator Refrigerator Sewing machine Creating of free websites cake mixers ovens. Start up cash for start up businesses. And a Grand Prize of 100k will be given as there will be a raffle draw in regards to this. Details Date: November 8 Cost: ₦4000 – ₦12000 Event Categories: Awards Night Business Event Tags:Ariiyatickets AWARDS MUSIC AND DANCE November 8
https://www.ariiyatickets.com/event/pure-laff-with-mc-90s/,Pure LAff with MC 90’s Mother and Son Edition Date : November 3rd 2019 Time: 4PM Venue: EKo FM Multi Purpose Hall  Agidingbi ikeja Lagos Ticket : Reg 3k | VIP 10k | Tables 500k For Ticket and Table Booking visit www.ariiyatickets.com or Call 09086787099/0882658462. Details Date: November 3 Time: 4:00 pm - 8:00 pm Cost: ₦3000 – ₦50000 Event Category: Comedy November 3 @ 4:00 pm - 8:00 pm
https://www.ariiyatickets.com/event/ghana-year-of-return-2019-kwame-nkrumah-writers-workshop/,The face-to-face writing course will be held from October 24 to 25 at the University of Ghana Legon for 15 selected writers. The applications deadline for the Kwame Nkrumah Creative Writing Workshop is on Saturday August 31 2019. Interested persons are required to email their application letters accompanied by their resume and sample write up to info@accrabookfest.com not later than the date specified. The Workshop Committee will screen the various applications and select only 15 successful applicants for the fellowship. The free course will be taught by acclaimed novelists and literary agents in the publishing industry. Details Start: October 24 @ 10:00 am End: October 25 @ 2:30 pm Cost: Free Website: http://www.accrabookfest.com October 24 @ 10:00 am - October 25 @ 2:30 pm
https://www.ariiyatickets.com/event/copa-lagos-2019/,It’s really here! The 2019 edition of the biggest beach soccer event in Africa #Copalagos is here!!. It is definitely going to be a battle of the champions as Brazil Senegal England and your hosts Nigeria will battle and settle some scores 😎. #copalagos2019 is on another level of excitement 🙌🏻🙌🏻😎. #letsgotothebeach Details Start: November 1 @ 2:00 pm End: November 3 @ 7:00 pm Event Categories: Sport Sport Entertainment Event Tags:Beach CHILL fun LAGOS Soccer November 1 @ 2:00 pm - November 3 @ 7:00 pm
https://www.ariiyatickets.com/event/accapella-my-mic-and-i-2019/,Acapella My Mic and I This time – Bigger Better & Brain Blasting. Every joke will be a hit back 2 back! Venue: Eko Hotel and Suites  Victoria Island Lagos Date: 20th of October 2019 Time: 7pm Early Bird Tickets: Regular N5000 VIP N25000 Table for 10 N1000000 & N2000000 Tickets are sold online at www.ariiyatickets.com For Tables & enquiries please call 09086787099 08182658462 or email us at info@ariiyatickets.com Details Date: October 20 Time: 7:00 pm - 11:30 pm Cost: ₦5000 – ₦200000 Event Tags:COMEDY fun music October 20 @ 7:00 pm - 11:30 pm
https://www.ariiyatickets.com/event/this-is-lagos-felabration-at-the-freedom-park/,“THIS IS LAGOS” FELABRATION AT THE FREEDOM PARK : Felabration at Freedom Park Lagos is an annual festival of music and arts commemorating the life and times of Nigeria’s foremost musical icon the late great Fela Anikulakpo KutiTherefore as we celebrate Fela Anikulakpo Kuti posthumously  we seek to empower the people through art dance music and intellectual discourse with the belief that together we shall succeed in ‘This Is Lagos’. Welcome to Felabration 2019! 14th – 20th October 2019. 7pm Daily. Over the past 7 years Freedom Park Lagos has become a leading venue partner for the Elite audience with premium entertainment and reception for one week of live music performances exhibitions and fanfare from both Nigerian and Foreign artistes at the Festival. Each event is expected to host more than 2000 attendees and is targeted at guests from home and abroad. This year will mark 22 years after the passing away of the Legend Fela Kuti and the Felabration Organizing Committee for Freedom Park plans to have a much grander event than past years. Theme is “THIS IS LAGOS” an addendum to the general Felabration theme “FROM LAGOS WITH LOVE. The Line up of activities slated for this year’s edition are as follows: LIVE MUSIC CONCERTS: 7 days Live Music concerts featuring several Nigerian and Foreign Artistes.VIP LOUNGE: Special VIP Hospitality for attendees will be available at an access fee as stated below: Regular (daily tickets) – N1000 Regular (1 week tickets) – N5000 VIP (daily tickets) – N10000 VIP (1 week tickets) – N50000 Group of 10 (daily tickets) – N90000 Group of 10 (1 week tickets) – N500000 Details Start: October 14 @ 7:00 pm End: October 20 @ 11:30 pm Cost: ₦1000 – ₦50000 Event Category: Concert Event Tags:ART culture Felabaration LAGOS music October 14 @ 7:00 pm - October 20 @ 11:30 pm
https://www.ariiyatickets.com/event/cvcc-celebrity-video-game-challenge/,It’s the 4th edition  video gamesboard gamesmusic performances!! Celebs vs celebs fans play against celebs.. and there’s 300k naira for best fifa 19 player General Access/regular – N3000 VIP TICKETS – N10000 TABLE -1m For more information call- 08182658462 Details Date: November 9 Time: 6:00 pm - 11:00 pm Cost: ₦3000 – ₦1000000 November 9 @ 6:00 pm - 11:00 pm
https://www.ariiyatickets.com/event/fast-and-funny-abuja-2019/,Seyilaw Fast & Funny Abuja 2019 (Blacker Than Ever). Featuring: Akporor Dr SmileChucks D GeneralMC EbenezerEfe Warri BoyLoud voice Music by: Small Doctor Paul Play Nd more You don’t want to miss this back-to-back award winning comedy show. Venue:Congress Hall Transcorp Hilton hotelAbuja. Date: Sunday October 27 2019. Time: 6 PM Regular N5000 VIP N15000 (Premium) Table for 10 N1000000. For Tickets Booking and Table Reservation Call: +234 (0) 9086787099 or 08182658462 Seyilaw Fast & Funny is packaged by BLACKADVO8 INTERNATIONAL Details Date: October 27 Time: 6:00 pm Cost: ₦5000 – ₦1000000 Event Category: Comedy Event Tags:COMEDY DANCE music social hangout October 27 @ 6:00 pm
