Event Name,Day,Month,Year,Time,Phone Number,Artiste,Venue,Price,Summary,Scrape Link
Redbull Bc One National Finale,13th,October,2019,00 p 12:00 pm 5:00 pm,,Indoor Sports Complex University of Lagos,-1,-1,"Presenting: Redbull Bc One National Finale.Performances by Indoor Sports Complex University of Lagos.Holding on October 13th, 2019.Time is 00 p 12:00 pm 5:00 pm.",https://www.ariiyatickets.com/event/redbull-bc-one-national-finale/
Chef Fatima Global Food Fest,9,November,2019,12:00 pm 8:00 pm,,The Chef Fatima Global Food Fest Food Fair Chef Fatima Human Rights Radio Expert Official Food Safety Consultant to Government and Private Organizations Chef Fatima I. Haruna CGFF Geo-Political The Food Fest The Food Fest Embassies and International Cultural Centers,Nigeria Nigeria,2000 20000,"Presenting: Chef Fatima Global Food Fest.Performances by The Chef Fatima Global Food Fest Food Fair Chef Fatima Human Rights Radio Expert Official Food Safety Consultant to Government and Private Organizations Chef Fatima I. Haruna CGFF Geo-Political The Food Fest The Food Fest Embassies and International Cultural Centers.The Venue is Nigeria Nigeria.Holding on November 9, 2019.Time is 12:00 pm 8:00 pm.Prices are ₦2000, ₦20000.",https://www.ariiyatickets.com/event/chef-fatima-global-food-fest/
Yowop Business Entrepreneurship Summit Award Dinner Nightcelebrating Social Media Influencers,8,November,2019,-1,,YOWOP BUSINESS& ENTREPRENEURSHIP SUMMIT & AWARD Digital Forex Career Relationship Generator Refrigerator Sewing,-1,100 4000 12000 100000,"Presenting: Yowop Business Entrepreneurship Summit Award Dinner Nightcelebrating Social Media Influencers.Performances by YOWOP BUSINESS& ENTREPRENEURSHIP SUMMIT & AWARD Digital Forex Career Relationship Generator Refrigerator Sewing.Holding on November 8, 2019.Prices are ₦100, ₦4000, ₦12000, ₦100000.",https://www.ariiyatickets.com/event/yowop-business-entrepreneurship-summit-award-dinner-nightcelebrating-social-media-influencers/
Pure Laff With Mc 90s,3rd,November,2019,4:00 pm 4pm 8:00 pm,09086787099,’s Mother Agidingbi Lagos Ticket Call 09086787099/0882658462,LAff,500 3000 10000 50000 500000,"Presenting: Pure Laff With Mc 90s.Performances by ’s Mother Agidingbi Lagos Ticket Call 09086787099/0882658462.The Venue is LAff.Holding on November 3rd, 2019.Time is 4:00 pm 4pm 8:00 pm.Prices are ₦500, ₦3000, ₦10000, ₦50000, ₦500000.",https://www.ariiyatickets.com/event/pure-laff-with-mc-90s/
Ghana Year Of Return 2019 Kwame Nkrumah Writers Workshop,31,August,2019,10:00 am 25 a 2:30 pm,,the University of Ghana Legon the Kwame Nkrumah Creative Writing Workshop The Workshop Committee,-1,-1,"Presenting: Ghana Year Of Return 2019 Kwame Nkrumah Writers Workshop.Performances by the University of Ghana Legon the Kwame Nkrumah Creative Writing Workshop The Workshop Committee.Holding on August 31, 2019.Time is 10:00 am 25 a 2:30 pm.",https://www.ariiyatickets.com/event/ghana-year-of-return-2019-kwame-nkrumah-writers-workshop/
Copa Lagos 2019,1,November,2019,2:00 pm 7:00 pm,,-1,Brazil Senegal England Nigeria,-1,"Presenting: Copa Lagos 2019.The Venue is Brazil Senegal England Nigeria.Holding on November 1, 2019.Time is 2:00 pm 7:00 pm.",https://www.ariiyatickets.com/event/copa-lagos-2019/
Accapella My Mic And I 2019,2019,October,2019,11:30 pm 7:00 pm 7pm,09086787099 08182658462,Mic Bigger Better & Brain Blasting Eko Hotel Suites N1000000 & N2000000 Tables &,-1,5000 25000 200000,"Presenting: Accapella My Mic And I 2019.Performances by Mic Bigger Better & Brain Blasting Eko Hotel Suites N1000000 & N2000000 Tables &.Holding on October 2019, 2019.Time is 11:30 pm 7:00 pm 7pm.Prices are ₦5000, ₦25000, ₦200000.",https://www.ariiyatickets.com/event/accapella-my-mic-and-i-2019/
This Is Lagos Felabration At The Freedom Park,20th,October,2019,11:30 pm 2000 a 7:00 pm 7pm,,Fela Anikulakpo KutiTherefore Fela Anikulakpo Kuti 7pm Daily the Legend Fela Kuti the Felabration Organizing Committee for Freedom Park Felabration LAGOS Line Live Music Foreign Artistes VIP Regular VIP N50000 Group of N90000 Group of 10 ( Concert Event Tags ART Felabaration LAGOS,Freedom Park Lagos Nigeria Freedom Park Lagos,1000 2000 5000 10000 50000 90000 500000,"Presenting: This Is Lagos Felabration At The Freedom Park.Performances by Fela Anikulakpo KutiTherefore Fela Anikulakpo Kuti 7pm Daily the Legend Fela Kuti the Felabration Organizing Committee for Freedom Park Felabration LAGOS Line Live Music Foreign Artistes VIP Regular VIP N50000 Group of N90000 Group of 10 ( Concert Event Tags ART Felabaration LAGOS.The Venue is Freedom Park Lagos Nigeria Freedom Park Lagos.Holding on October 20th, 2019.Time is 11:30 pm 2000 a 7:00 pm 7pm.Prices are ₦1000, ₦2000, ₦5000, ₦10000, ₦50000, ₦90000, ₦500000.",https://www.ariiyatickets.com/event/this-is-lagos-felabration-at-the-freedom-park/
Cvcc Celebrity Video Game Challenge,9,November,2019,11:00 pm 19 p 1m 6:00 pm,08182658462,TABLE,-1,300 3000 10000 300000,"Presenting: Cvcc Celebrity Video Game Challenge.Performances by TABLE.Holding on November 9, 2019.Time is 11:00 pm 19 p 1m 6:00 pm.Prices are ₦300, ₦3000, ₦10000, ₦300000.",https://www.ariiyatickets.com/event/cvcc-celebrity-video-game-challenge/
Fast And Funny Abuja 2019,27,October,2019,6 pm 6:00 pm,08182658462,Seyilaw Fast & Funny Blacker Than Ever EbenezerEfe Warri Congress Hall Transcorp Hilton Tickets Booking +234 Seyilaw Fast & Funny,-1,5000 15000,"Presenting: Fast And Funny Abuja 2019.Performances by Seyilaw Fast & Funny Blacker Than Ever EbenezerEfe Warri Congress Hall Transcorp Hilton Tickets Booking +234 Seyilaw Fast & Funny.Holding on October 27, 2019.Time is 6 pm 6:00 pm.Prices are ₦5000, ₦15000.",https://www.ariiyatickets.com/event/fast-and-funny-abuja-2019/
Hallelujah Concert 2019,2019.,October,2019,11:30 pm 12:00 pm 3pm,,Hallelujah Concert 2019 Panam Percy Osaji & Dr. Ron Kenoly Red Carpet Main Event M & O Records & Starzbloom Charity Foundation Concert Gospel LAGOS Praise,-1,5000 25000,"Presenting: Hallelujah Concert 2019.Performances by Hallelujah Concert 2019 Panam Percy Osaji & Dr. Ron Kenoly Red Carpet Main Event M & O Records & Starzbloom Charity Foundation Concert Gospel LAGOS Praise.Holding on October 2019., 2019.Time is 11:30 pm 12:00 pm 3pm.Prices are ₦5000, ₦25000.",https://www.ariiyatickets.com/event/hallelujah-concert-2019/
Ghana Year Of Return Accra International Book Festival Oct 24 27 2019,24,October,2019,-1,,Accra,Ghana,-1,"Presenting: Ghana Year Of Return Accra International Book Festival Oct 24 27 2019.Performances by Accra.The Venue is Ghana.Holding on October 24, 2019.",https://www.ariiyatickets.com/event/ghana-year-of-return-accra-international-book-festival-oct-24-27-2019/
Dj Kaywise Joor Party Live In Zaria,13,October,2019,12:00 pm 9:00 pm,,Joor Concert DJ,-1,1500 25000 30000,"Presenting: Dj Kaywise Joor Party Live In Zaria.Performances by Joor Concert DJ.Holding on October 13, 2019.Time is 12:00 pm 9:00 pm.Prices are ₦1500, ₦25000, ₦30000.",https://www.ariiyatickets.com/event/dj-kaywise-joor-party-live-in-zaria/
Destalker Laughter Crusade Portharcourt,20th,October,2019,11:30 pm 6:00 pm 6pm,09086787099,-1,-1,500 5000 10000 500000,"Presenting: Destalker Laughter Crusade Portharcourt.Holding on October 20th, 2019.Time is 11:30 pm 6:00 pm 6pm.Prices are ₦500, ₦5000, ₦10000, ₦500000.",https://www.ariiyatickets.com/event/destalker-laughter-crusade-portharcourt/
Mc Danfo Comedy Traffic 2,13,October,2019,11:59 pm 5:00 pm 5pm 6pm,09086787099 08182656462,Crack your Ribs Akpororo Destalker DeDon Africa Time Red Carpet Main Event,-1,3000 10000 20000 200000,"Presenting: Mc Danfo Comedy Traffic 2.Performances by Crack your Ribs Akpororo Destalker DeDon Africa Time Red Carpet Main Event.Holding on October 13, 2019.Time is 11:59 pm 5:00 pm 5pm 6pm.Prices are ₦3000, ₦10000, ₦20000, ₦200000.",https://www.ariiyatickets.com/event/mc-danfo-comedy-traffic-2/
Dvyne Live 2 0,2019,October,2019,10:00 pm 2019 a 49 p 5:00 pm 5pm,09086787099 08182658462,Dvyne Spoken Comedy Dvyne Bee Jay Sax Larry J Calibird,The Kairos Hub Plot 49 Providence Street Lekki Phase 1 Gbolahan Aderibigbe,3000,"Presenting: Dvyne Live 2 0.Performances by Dvyne Spoken Comedy Dvyne Bee Jay Sax Larry J Calibird.The Venue is The Kairos Hub Plot 49 Providence Street Lekki Phase 1 Gbolahan Aderibigbe.Holding on October 2019, 2019.Time is 10:00 pm 2019 a 49 p 5:00 pm 5pm.Prices are ₦3000.",https://www.ariiyatickets.com/event/dvyne-live-2-0/
Abuja Jazz Fashion Show,26,October,2018,00 am 6pm 7pm,,ABUJA JAZZ & FASHION Jazz African Fashion Jazz & Fashion Masterclass & Mentor Sales & Exhibition Main Jazz,-1,5000 50000,"Presenting: Abuja Jazz Fashion Show.Performances by ABUJA JAZZ & FASHION Jazz African Fashion Jazz & Fashion Masterclass & Mentor Sales & Exhibition Main Jazz.Holding on October 26, 2018.Time is 00 am 6pm 7pm.Prices are ₦5000, ₦50000.",https://www.ariiyatickets.com/event/abuja-jazz-fashion-show/
Ofada Rice Day 2019,13th,October,2019,10:00 am 7:00 pm,09086787099 08182658462,Muri Okunola ParkOzumba Mbadiwe RdVi,-1,35000,"Presenting: Ofada Rice Day 2019.Performances by Muri Okunola ParkOzumba Mbadiwe RdVi.Holding on October 13th, 2019.Time is 10:00 am 7:00 pm.Prices are ₦35000.",https://www.ariiyatickets.com/event/ofada-rice-day-2019/
Lagos Halloween Party 2,26,October,2019,11:30 pm 6:00 pm,,The Lagos Halloween Party Pool Social,-1,10000,"Presenting: Lagos Halloween Party 2.Performances by The Lagos Halloween Party Pool Social.Holding on October 26, 2019.Time is 11:30 pm 6:00 pm.Prices are ₦10000.",https://www.ariiyatickets.com/event/lagos-halloween-party-2/
Rotary International Keep Poliozero Concert,-1,May,2019,11:30 pm 4:00 pm,,Ali Baba Kate Henshaw Akin Shuga Sani Danja Ranti Details Concert Event Tags Concert Website,Polio Nigeria,10000 50000,"Presenting: Rotary International Keep Poliozero Concert.Performances by Ali Baba Kate Henshaw Akin Shuga Sani Danja Ranti Details Concert Event Tags Concert Website.The Venue is Polio Nigeria.Holding on May 2019.Time is 11:30 pm 4:00 pm.Prices are ₦10000, ₦50000.",https://www.ariiyatickets.com/event/rotary-international-keep-poliozero-concert/
Africa Movie Academy Awards 2019,26,October,2019,11:30 pm 6:00 pm,09086787099 08182658462,The Africa Movie Academy Awards Peace Anyiam-Osigwe the Africa Film Academy Award LAGOS Movie,-1,10000,"Presenting: Africa Movie Academy Awards 2019.Performances by The Africa Movie Academy Awards Peace Anyiam-Osigwe the Africa Film Academy Award LAGOS Movie.Holding on October 26, 2019.Time is 11:30 pm 6:00 pm.Prices are ₦10000.",https://www.ariiyatickets.com/event/africa-movie-academy-awards-2019/
Forex Leaders And Earners Workshop,25,October,2019,5:00 pm 8:00 am,,FOREX Lifetime,-1,5000,"Presenting: Forex Leaders And Earners Workshop.Performances by FOREX Lifetime.Holding on October 25, 2019.Time is 5:00 pm 8:00 am.Prices are ₦5000.",https://www.ariiyatickets.com/event/forex-leaders-and-earners-workshop/
The Headies Award 2019,19th,October,2019,1500000 p 2000000 p 2019a 6:00 pm 6:00pm 9:00pm,09086787099 08182658462,the Hip Hop World Magazine of Nigeria Time-Red Carpet PREMIUM,the Eko Convention Center Victoria Island Lagos,10000 50000 250000,"Presenting: The Headies Award 2019.Performances by the Hip Hop World Magazine of Nigeria Time-Red Carpet PREMIUM.The Venue is the Eko Convention Center Victoria Island Lagos.Holding on October 19th, 2019.Time is 1500000 p 2000000 p 2019a 6:00 pm 6:00pm 9:00pm.Prices are ₦10000, ₦50000, ₦250000.",https://www.ariiyatickets.com/event/the-headies-award-2019/
