Event Name,Day,Month,Year,Time,Phone Number,Artiste,Venue,Price,Summary,Scrape Link
Fast And Funny Abuja 2019,27,October,2019,6 pm 6:00 pm,08182658462,Seyilaw Fast & Funny Blacker Than Ever EbenezerEfe Warri Congress Hall Transcorp Hilton Tickets Booking +234 Seyilaw Fast & Funny Premium Table,-1,5000 15000 100000 1000000,"Presenting: Fast And Funny Abuja 2019.Performances by Seyilaw Fast & Funny Blacker Than Ever EbenezerEfe Warri Congress Hall Transcorp Hilton Tickets Booking +234 Seyilaw Fast & Funny Premium Table.Holding on October 27, 2019.Time is 6 pm 6:00 pm.Prices are ₦5000, ₦15000, ₦100000, ₦1000000.",https://www.ariiyatickets.com/event/fast-and-funny-abuja-2019/
Mister Miss Humanity Nigeria International,8,November,2019,6:00 pm 6pm 8pm 9pm,08182658462 09086787099,EVENT Reservations/Enquiries Beaty Premium Table,-1,1000 5000 20000 50000,"Presenting: Mister Miss Humanity Nigeria International.Performances by EVENT Reservations/Enquiries Beaty Premium Table.Holding on November 8, 2019.Time is 6:00 pm 6pm 8pm 9pm.Prices are ₦1000, ₦5000, ₦20000, ₦50000.",https://www.ariiyatickets.com/event/mister-miss-humanity-nigeria-international/
Next Starss Dance Competition,:19th,November,2019,10:00am 11:00am 12:00 pm 12:00pm 2:00 pm 4:00pm,,D’KING Venue-Molade Tickets Categories Abiodun Tickets Available Next Next,Okaya Indoor Sport Hall Teslim Balogun StadiumSurulereLagos November2019,1000 2000 5000,"Presenting: Next Starss Dance Competition.Performances by D’KING Venue-Molade Tickets Categories Abiodun Tickets Available Next Next.The Venue is Okaya Indoor Sport Hall Teslim Balogun StadiumSurulereLagos November2019.Holding on November :19th, 2019.Time is 10:00am 11:00am 12:00 pm 12:00pm 2:00 pm 4:00pm.Prices are ₦1000, ₦2000, ₦5000.",https://www.ariiyatickets.com/event/next-starss-dance-competition/
Bowjoint Comedy 2019,11,November,2019,5:00 am 5pm 6pm 9:00 pm,08182658462 09086787099,Red Carpet Tickets Booking &,Lagos,5000 20000 50000 500000,"Presenting: Bowjoint Comedy 2019.Performances by Red Carpet Tickets Booking &.The Venue is Lagos.Holding on November 11, 2019.Time is 5:00 am 5pm 6pm 9:00 pm.Prices are ₦5000, ₦20000, ₦50000, ₦500000.",https://www.ariiyatickets.com/event/bowjoint-comedy-2019/
Rotary International Keep Poliozero Concert,-1,May,2019,11:30 pm 4:00 pm,,Ali Baba Kate Henshaw Akin Shuga Sani Danja Ranti Details Concert Event Tags Concert Website,Polio Nigeria,10000 25000 50000,"Presenting: Rotary International Keep Poliozero Concert.Performances by Ali Baba Kate Henshaw Akin Shuga Sani Danja Ranti Details Concert Event Tags Concert Website.The Venue is Polio Nigeria.Holding on May 2019.Time is 11:30 pm 4:00 pm.Prices are ₦10000, ₦25000, ₦50000.",https://www.ariiyatickets.com/event/rotary-international-keep-poliozero-concert/
Rock On The Musical 2,24,November,2019,1:00 pm 1pm 4pm 7pm 9:00 pm,,Christie Drama Family Regular Tickets 7PM Rock on₦10000.00 Add,1PM,10000 20000,"Presenting: Rock On The Musical 2.Performances by Christie Drama Family Regular Tickets 7PM Rock on₦10000.00 Add.The Venue is 1PM.Holding on November 24, 2019.Time is 1:00 pm 1pm 4pm 7pm 9:00 pm.Prices are ₦10000, ₦20000.",https://www.ariiyatickets.com/event/rock-on-the-musical-2/
Cvcc Celebrity Video Game Challenge,-1,May,2019,11:00 pm 6:00 pm,08182658462 09086787099,CVGC AY VJ 300k CVGC CVGC FIFA,-1,1000 3000 5000 10000 300000 1000000,"Presenting: Cvcc Celebrity Video Game Challenge.Performances by CVGC AY VJ 300k CVGC CVGC FIFA.Holding on May 2019.Time is 11:00 pm 6:00 pm.Prices are ₦1000, ₦3000, ₦5000, ₦10000, ₦300000, ₦1000000.",https://www.ariiyatickets.com/event/cvcc-celebrity-video-game-challenge/
The Box Champ Festival 2019,8,November,2019,11:30 pm 4:00 pm,,TheBox Champ History for Nigeria History for Nigeria Boxing … – Tony Larry IBF Champion Nigerian Artists champ₦10000.00,Nigeria Attendance,1000 10000 30000 50000,"Presenting: The Box Champ Festival 2019.Performances by TheBox Champ History for Nigeria History for Nigeria Boxing … – Tony Larry IBF Champion Nigerian Artists champ₦10000.00.The Venue is Nigeria Attendance.Holding on November 8, 2019.Time is 11:30 pm 4:00 pm.Prices are ₦1000, ₦10000, ₦30000, ₦50000.",https://www.ariiyatickets.com/event/the-box-champ-festival-2019/
Whalemouth,2019,November,2019,11:30 pm 7:00 pm 7pm,08182658462 09086787099,Whalemouth Lagos PREMIUM ECONOMY Premium Economy whalemouth₦10000.00 Quantity 100,-1,5000 10000 100000 200000 1000000 2000000,"Presenting: Whalemouth.Performances by Whalemouth Lagos PREMIUM ECONOMY Premium Economy whalemouth₦10000.00 Quantity 100.Holding on November 2019, 2019.Time is 11:30 pm 7:00 pm 7pm.Prices are ₦5000, ₦10000, ₦100000, ₦200000, ₦1000000, ₦2000000.",https://www.ariiyatickets.com/event/whalemouth/
Pure Laff With Mc 90s,3rd,November,2019,4:00 pm 4pm 8:00 pm,09086787099,’s Mother Agidingbi Lagos Ticket Call 09086787099/0882658462,LAff,3000 10000 50000 500000,"Presenting: Pure Laff With Mc 90s.Performances by ’s Mother Agidingbi Lagos Ticket Call 09086787099/0882658462.The Venue is LAff.Holding on November 3rd, 2019.Time is 4:00 pm 4pm 8:00 pm.Prices are ₦3000, ₦10000, ₦50000, ₦500000.",https://www.ariiyatickets.com/event/pure-laff-with-mc-90s/
Shadows Stage Play,22,November,2019,7:00 pm,,SHADOWS,-1,3000,"Presenting: Shadows Stage Play.Performances by SHADOWS.Holding on November 22, 2019.Time is 7:00 pm.Prices are ₦3000.",https://www.ariiyatickets.com/event/shadows-stage-play/
Nthusiasm With Tuller,17th,November,2019,10:00 pm 3:00 pm 3pm,09086787099,Immanuel Music Concert Innovations Presents Enthusiasm TULLER Featuring Bidemi Olaoba Ebenezer Anuoluwapo Ariiyatickets.com Concert Event Tags,-1,2000 5000 40000,"Presenting: Nthusiasm With Tuller.Performances by Immanuel Music Concert Innovations Presents Enthusiasm TULLER Featuring Bidemi Olaoba Ebenezer Anuoluwapo Ariiyatickets.com Concert Event Tags.Holding on November 17th, 2019.Time is 10:00 pm 3:00 pm 3pm.Prices are ₦2000, ₦5000, ₦40000.",https://www.ariiyatickets.com/event/nthusiasm-with-tuller/
